Brand,Slug,Source,# Levers,Banner,Free Ship Threshold ($),Subscribe & Save %,Sale Collection,Sale Coll Count,Sale Coll Avg Discount %,Catalog Scan: On Sale,Catalog Scan: Scanned,Catalog Scan: Avg %,Catalog Scan: Max %,Levers (joined),Scraped At
100 Percent Pure,100-percent-pure,live,1,,,,,,,107,250,39,86,"Currently 107 products on sale (43% of recent inventory) — average discount 39% off list, up to 86% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
2020AVE,2020ave,live,2,Free Shipping on Orders $99 and up,99,,,,,3,250,19,24,"Free shipping on orders $99+ (current store policy) || Currently 3 products on sale (1% of recent inventory) — average discount 19% off list, up to 24% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
24Hundred,24hundred,live,1,,,,sale,20,39,11,250,43,60,"Currently 39% off across 20 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
2Modern,2modern,live,1,Join Our Trade Program Free shipping on orders over $50*,50,,,,,,,,,Free shipping on orders $50+ (current store policy),2026-05-08
3DM Lifestyle,3dm-lifestyle,live,0,,,,,,,,,,,,2026-05-08
420 Science,420-science,live,2,FREE SHIPPING on ORDERS $50+,50,,clearance,50,40,27,250,25,70,"Free shipping on orders $50+ (current store policy) || Currently 40% off across 50 products in our 'clearance' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
47 Brand,47-brand,live,2,NCAA Collections Shop All NCAA Best Sellers College Football Playoffs,,,sale,50,46,4,250,45,50,"Currently 46% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""NCAA Collections Shop All NCAA Best Sellers College Football Playoffs""",2026-05-08
80s Tees,80s-tees,live,0,,,,,,,,,,,,2026-05-08
Affliction,affliction,live,1,,,,sale,9,40,,,,,"Currently 40% off across 9 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Afloral,afloral,live,2,15% off,,,,,,39,250,35,82,"Currently 39 products on sale (16% of recent inventory) — average discount 35% off list, up to 82% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""15% off""",2026-05-08
Al-Rugaib Furniture,al-rugaib-furniture,live,1,Ending Soon,,,clearance,50,49,170,250,32,80,"Currently 49% off across 50 products in our 'clearance' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Allbirds,allbirds,live,2,25% off sale items,,,sale-mens,50,43,211,250,51,75,"Currently 43% off across 50 products in our 'sale-mens' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""25% off sale items""",2026-05-08
