Rank,Brand,Domain,Slug,Status,Products,Levers,Offer Signals,Source,Note
5,Skinnydip London,kinnydiplondon.com,skinnydip-london,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
7,The GLD Shop,egldshop.com,the-gld-shop,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
17,Suga & Cotton,ugarandcotton.com,suga-cotton,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
21,Triangl,riangl.com,triangl,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
24,Packershoes,ackershoes.com,packershoes,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
28,Stampd,ampd.com,stampd,not-shopify,0,0,,,"server='Squarespace', status=200"
32,Shop Miss A,opmissa.com,shop-miss-a,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
43,Tee Turtle,eeturtle.com,tee-turtle,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
66,The Music Zoo,emusiczoo.com,the-music-zoo,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
70,SlideBelts,lidebelts.com,slidebelts,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
74,Sivana Spirit,ivanaspirit.com,sivana-spirit,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
75,Turntable Lab,urntablelab.com,turntable-lab,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
76,Survival Frog,urvivalfrog.com,survival-frog,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
83,Smoke Cartel,mokecartel.com,smoke-cartel,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
98,Status Anxiety,atusanxiety.com.au,status-anxiety,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
103,Tanotis,anotis.com,tanotis,dead-domain,0,0,,,URLError: <urlopen error [Errno 61] Connection refused>
104,Todd Snyder,oddsnyder.com,todd-snyder,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
105,VIDA,opvida.com,vida,not-shopify,0,0,,,"server='DPS/2.0.0+sha-eafc77d', status=200"
109,The Chivery,echivery.com,the-chivery,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
112,Peach and Lily,eachandlily.com,peach-and-lily,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
113,Hak5,akshop.com,hak5,not-shopify,0,0,,,"server='Parking/1.0', status=200"
115,Shark Robot,arkrobot.com,shark-robot,cloudflare-blocked,0,0,,,Cloudflare; not Shopify (server='cloudflare')
123,Thursday Boots Company,ursdayboots.com,thursday-boots-company,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
131,SaberForge,aberforge.com,saberforge,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
145,ZeroUV,opzerouv.com,zerouv,dead-domain,0,0,,,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>"
